                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.72685,                0.38335,                0.86351,                0.95619,                0.97211,                0.99019,                0.55642,                 1.5969,                0.55046,                 1.2016,              0.0007724,              0.0007724,              0.0007724
                     64,                0.73672,                0.38707,                0.86449,                0.95876,                0.98381,                0.98973,                0.53719,                 1.6091,                0.56323,                 1.2073,              0.0007526,              0.0007526,              0.0007526
                     65,                 0.7344,                0.38354,                0.86785,                0.96496,                0.97368,                0.98925,                0.55479,                 1.6211,                0.56831,                 1.2108,              0.0007328,              0.0007328,              0.0007328
                     66,                0.70801,                0.37312,                0.86111,                0.96329,                0.96964,                0.99019,                 0.5345,                 1.6357,                 0.5518,                 1.2158,               0.000713,               0.000713,               0.000713
                     67,                0.70656,                0.37449,                0.86112,                0.95164,                0.97166,                0.98675,                0.53239,                 1.7068,                 0.5811,                 1.2528,              0.0006932,              0.0006932,              0.0006932
                     68,                0.71231,                0.37542,                0.85907,                0.96953,                0.96624,                0.98972,                0.55065,                 1.6179,                0.54774,                 1.2023,              0.0006734,              0.0006734,              0.0006734
                     69,                0.69736,                0.36749,                0.86022,                0.96309,                0.95084,                   0.98,                0.54177,                 1.6159,                0.56963,                 1.2123,              0.0006536,              0.0006536,              0.0006536
                     70,                 0.7056,                0.37081,                 0.8584,                0.95982,                0.98583,                0.99101,                0.55658,                 1.6161,                0.53727,                 1.2059,              0.0006338,              0.0006338,              0.0006338
                     71,                0.68675,                0.36306,                0.85654,                0.96993,                0.97949,                0.98843,                0.53659,                 1.6361,                0.55524,                 1.2164,               0.000614,               0.000614,               0.000614
                     72,                0.68296,                0.36167,                0.85475,                0.97125,                0.97571,                0.99168,                0.56437,                 1.5872,                0.52938,                 1.1935,              0.0005942,              0.0005942,              0.0005942
                     73,                0.67694,                0.35969,                0.85101,                0.97357,                0.96924,                0.99051,                0.55317,                 1.6077,                0.55175,                 1.1978,              0.0005744,              0.0005744,              0.0005744
                     74,                0.68665,                0.36477,                0.85665,                0.96399,                0.97166,                0.98808,                0.54674,                 1.6357,                0.54789,                 1.2207,              0.0005546,              0.0005546,              0.0005546
                     75,                0.67011,                0.35949,                0.85385,                0.96312,                0.97571,                0.99041,                0.54189,                   1.63,                0.55952,                 1.2118,              0.0005348,              0.0005348,              0.0005348
                     76,                 0.6805,                 0.3607,                 0.8585,                0.95071,                0.97606,                0.98913,                0.54973,                 1.5824,                0.55221,                 1.1922,               0.000515,               0.000515,               0.000515
